,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,Avg_june10days,maytojune
86,WEST BENGAL,8.9,16,32.2,138.9,345.4,668.8,864.9,733,470.9,141.3,15.1,8.3,3443.7,24.9,516.5,2737.6,164.7,1,222.9333333,323.4
87,WEST BENGAL,48.3,33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,3118.5,82.1,450.5,2440.3,145.6,1,178.2333333,272.4
88,WEST BENGAL,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18,7.2,3468.3,27,498.3,2757.9,185.1,1,222.4333333,328
89,WEST BENGAL,13.6,10.5,14.5,34.8,106.2,216.6,332.9,284.8,283,102.5,13.2,6.8,1419.4,24.1,155.5,1117.3,122.5,1,72.2,110.4
90,WEST BENGAL,8.9,13.3,19,58.9,167.8,289.3,368.9,248,279.7,112.5,13,5.6,1584.9,22.2,245.7,1185.9,131.1,1,96.43333333,121.5
91,WEST BENGAL,21.5,2,8,35.7,162.9,316,367,307.7,403.8,90.7,9.1,3.2,1727.6,23.5,206.6,1394.5,103,1,105.3333333,153.1
92,SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,1,167.6666667,147.6
93,SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,1,154.8666667,172.9
94,SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,1,167.6666667,147.6
95,SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,1,154.8666667,172.9
96,WEST BENGAL,12,18,22,36.3,66.9,215,303.2,290.7,242.3,105.2,9.8,9.5,1330.9,30,125.2,1051.2,124.5,1,71.66666667,148.1
97,WEST BENGAL,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271,105.1,15.8,5.6,1392.8,29.5,130.8,1106,126.5,1,74.1,143.6
98,WEST BENGAL,10.7,22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6,1315.2,32.9,136.4,1028.7,117.2,1,66.06666667,119.4
99,WEST BENGAL,11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16,6.9,1418.7,38.5,187.3,1067.9,125,1,81.13333333,134.9
100,WEST BENGAL,12.2,24.9,32,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600,37.1,211,1211.4,140.5,1,77.73333333,106.8
101,WEST BENGAL,14.3,20.7,24.6,36.1,57.3,222.1,298.7,307,266.7,91.5,16.7,7.6,1363.3,35,118,1094.5,115.8,1,74.03333333,164.8
102,WEST BENGAL,16.8,11.2,19,34,87,237.6,328.6,256.9,256.2,126.3,11,6.5,1391.1,28,140,1079.3,143.8,1,79.2,150.6
103,WEST BENGAL,12.2,17.6,21.1,42.1,95.2,234.1,270.8,236,214.1,100.2,10.4,7.8,1261.6,29.8,158.4,955,118.4,1,78.03333333,138.9
104,WEST BENGAL,15.6,17.8,30.3,51.5,113.4,271.9,317.2,304.3,279.4,130.9,21.8,5.7,1559.8,33.4,195.2,1172.8,158.4,1,90.63333333,158.5
105,WEST BENGAL,13.6,26.7,37.9,41.7,125.1,316,463.6,416.2,356.8,218.4,62.3,9.7,2088,40.3,204.7,1552.6,290.4,1,105.3333333,190.9
106,WEST BENGAL,15.9,18.6,31.8,34.7,108.1,253.5,284.9,338.7,343.2,196.9,34,9.3,1669.6,34.5,174.6,1220.3,240.2,1,84.5,145.4
